source,Appliction,user_name,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion
Google Play,Booking.com,Nicci J,Easy to navigate and brilliant for booking. Easy for communication with proprietors of properties. I particularly like the translation option for bookings abroad. The ability to cancel prior to stays is excellent as you never know what might happen. We've been caught out a few times and saved £££ with the cancellation option. All in all a very satisfactory app.,5,209,2023-12-31 23:19:05,"Thank you for your words and review, Nicci. Our mission is to make it easier for everyone to experience the world, and your message tells us we’re on the right path.",2024-01-01 00:26:51,42.6
Google Play,Booking.com,Kathryn Lambkin,"The best place to book hotels. I've stayed in hotels for 90 days out of the last 365 so I know what I'm talking about! Filtering by keywords in reviews really helps you select the most affordable but least dodgy property! I'm at genius level 3, so I get a discount off almost every booking. Always the cheapest worldwide. Please add a filter for lift/elevator (Expedia has this under accessibility) I suggest users filter reviews by most recent. Check for noise and poor maintenance of rooms.",5,166,2024-01-02 06:38:12,"Thank you for your words and review, Kathryn. Our mission is to make it easier for everyone to experience the world, and your message tells us we’re on the right path.",2024-01-03 00:57:36,42.6
Google Play,Booking.com,Kei,"The app itself and when trips are booked without a problem, it's not an issue. But if there is an issue with your trip, good luck.. Their support agents are so siloed, you get pinged around different agents after every interaction. I have had to repeat myself 6 times to 6 different people. EXTREMELY frustrating. Please sort out your support system!",2,328,2023-12-22 14:07:55,"We're sorry to hear that your experience was not satisfactory. We're here to replying to the app reviews and not to requests related to reservations. In order to have assistance we advise you to reach out our customer service, available 24/7, to find a suitable solution.",2023-12-22 19:09:45,42.6
Google Play,Booking.com,Michael Crutchfield,"Pretty decent app. For the most part it does everything it's supposed to do ^_^ I would really love to see a button along the bottom or some kind of shortcut to view my messages/correspondence from booked hotels. At the moment you have to go to the saved booking and click send a new message, it's not intuitive, and a bunch of extra clicks to get to that area. Otherwise no issues with the app at all.",4,1381,2023-10-25 13:45:56,"Hi Michael and thank you for getting in touch about that. Our Team is aware of the situation and we are currently working on it. We kindly ask you to wait for the next updates of our app to download them. Meanwhile, we advise you to use our website and all your data will be automatically synchronized.",2023-10-27 00:37:35,41.0
Google Play,Booking.com,Stefan Gamboa,"Terrible costumer service. I spend like 3 days emailing with a few costumer service agents because I want to cancel a reservation and I can't, I literally can't find any cancelation option in my reservation. They didn't help me at all. All of them told me (like robots) to go to the confirmation Email and look for the option, but IT'S NOT THERE and that's what I'm trying to say. Very dissapointed.",1,89,2023-12-31 23:01:02,"We're sorry to hear that your experience was not satisfactory. We're here to replying to the app reviews and not to requests related to reservations. In order to have assistance, we advise you to reach out to our customer service, available 24/7, to find a suitable solution.",2024-01-01 01:57:34,42.6
Google Play,Booking.com,Avery,"When it works, it works fine. But the customer support is some of the worst I have dealt with. They have made all efforts to be uncontactable when trying to speak to a human, with no phone option, no email, no live chat option, and only a message function. Even then, when replying it sends you to different agents who have little ability to help (not the agents fault, entirely the company's fault). If you're gonna use this, it will be an overall good experience but expect things to go wrong.",1,136,2023-12-28 21:21:06,"We're sorry to hear that your experience was not satisfactory. We're here to replying to the app reviews and not to requests related to reservations. In order to have assistance we advise you to reach out our customer service, available 24/7, to find a suitable solution.",2023-12-29 18:34:53,42.6
Google Play,Booking.com,CL Wong,"There is something wrong with the app. I can't seem to make booking or reservation or see what options of rooms are available for booking! I have uninstalled and reinstalled with no change in the app experience. Also have made sure the app is up to date to the latest version. Seems to be problematic since the latest update! Update: There is no ""give app feedback"" in the option!!! Also when I click on ""contact customer service"" in the app (that I have signed into) it asks me to sign in again!!",1,111,2023-12-22 20:22:38,"Hello, we appreciate your feedback as this helps us improve our product. Please share it in detail via our app menu : ""Help and Support"" > ""Give app feedback"" and our Team will be happy to look into that for you.",2023-12-22 20:07:52,42.6
Google Play,Booking.com,Chris Paddon,"Loved this app. Always found what I was looking for, at a very reasonable price. Until I booked a flight through them. Never again. Husband's name spelt wrongly on booking, not discounted my genius level discount and charged a commission because I paid in euros to a Spanish airline (I live in Spain) have been on to their customer service during the last 4 weeks and am still asking the same questions. The customer service is dreadful, after this trip I will never use them again.",2,54,2024-01-04 16:04:37,"We are sorry to hear that, Chris. In such a case we advise you to immediately contact our Flight Team via this link https://flights-support.booking.com/. We will be ready to check your order details and assist you with your requests.",2024-01-05 01:24:30,42.6
Google Play,Booking.com,Justine Ignacio,"WORST ONLINE BOOKING EXPERIENCE. there's a hidden service charge on top of the ""TOTAL PRICE"". there's a reason it's called 'total price' - because it's supposed to already show you how much you'll be paying. but then upon checking in, we were told that there's an additional 800 service charge that was not included in the TOTAL PRICE. imagine the inconvenience people would have if they only have enough money to spend. really frustrating and property really not good - would've given 0 stars.",1,284,2023-10-15 12:14:30,"Hi Justine, we are sorry to hear that your experience was not satisfactory. We are always here to help and our Customer Service team is available 24/7. Please get in touch with us, we will be happy to assist you. Kindly find our contact details by clicking on the ‘Customer Service help’ option in the menu of our app, we'll be glad to look into this",2023-10-16 22:20:17,40.7
Google Play,Booking.com,Val Serrano,"This apps is excellent when things are going well. But once have issue, you will never contact them. Their help service is very poor. They designed thier help service as hard as it can be. You can only contact the hotel but if the issue is about to them its gonna be a hell. This company should establish a easy way to contact them. My issue is they deducted me an amount that I have no clue why they did that. If there are easy way to get help I would not use this review to get help.",1,108,2024-01-04 18:26:49,"We're sorry to hear that your experience was not satisfactory. We're here to replying to the app reviews and not to requests related to reservations. In order to have assistance, we advise you to reach out to our customer service, available 24/7, to find a suitable solution.",2024-01-01 20:58:33,42.6
