source,Appliction,user_name,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion
Google Play,Goibibo,Ankur Batra,"The app shows one price and then when you go the hotel staff asks for extra amount to check in or they cancel your booking. After arguing with custome care they refund back the amount to Oyo wallet and not the original mode of payment. Next time when you try to book you can't use the wallet money, customer care asks you to pay separately. There's no point escalating as well. Nothing is done This is my second such experience. The customerservice is rude and they even refuse to escalate the matter",3,27,2024-01-05 17:21:06,,,17.4.3
Google Play,Goibibo,Sanjoy Dutta,"Very bad services, in the name of Goconfimrd for railway booking. They never mentioned during booking different terms and conditions. Could not confirmed the tickets but taken extra money. Going to escalate this issue to Railway department. A voucher given which has multiple conditions of use. This you have not mentioned earlier. What is your email id? No one contacted. Getting useless link from no- reply. This link doesn't work at all. Specify your email ID.",1,12,2024-01-06 15:01:56,"Hi

We would request you to please share details of your issue at your unique customer link https://applinks.makemytrip.com/AKa55kZ99Fb Our team will reach out to you within 48 hours with an appropriate resolution.

- Thanks,
Deepak",2024-01-07 15:43:42,17.4.3
Google Play,Goibibo,Amish Singh,"Worst experience. I used this app for more than a year. They give lil bit more discount than others. But, if you want to cancel or reschedule your flight, I got response something went wrong. I selected full cancellation option. I am getting same response from last one day. There is no one to talk on call as well. No customer support. I used this for a year. Frequent traveler. Now I am really disappointed.",1,11789,2021-10-03 10:23:40,"We want to look into this right away, please share details of your grievance at this unique customer link https://go.ibi.bo/OITFSB3Q2jb (Please note that to access this link, you will have to check it on your registered e-mail ID). Our team will reach out to you in the next 48 hrs. with a resolution


-Thanks,
Avinash",2021-10-03 10:31:29,14.0.4
Google Play,Goibibo,Rishav Dutta,"Goibibo has become desperate. There are now notifications that cannot be cleared with the traditional android clearing capability. They have now introduced a new ""dismiss"" option, which sometimes and sometimes don't. So the notifications just sticks to your phone until you actually click on it and it opens up. Edit -- The provided link in your response opens up a blank page. Tried it multiple times, on Chrome browser, Opera and Mozilla. Also tried opening with app. Doesn't work.",2,7615,2022-02-28 22:59:56,"Please share requisite details at (Do note that to access this link, you will have to check it on your registered e-mail ID), for us to look up your concern. We will get back to you in the next 48 hrs.
",2022-03-01 03:01:22,14.9.3
Google Play,Goibibo,A Google user,The app I check after oyo if I'm travelling and need a room to stay. Have been using for quite a while and did not have any bad experiences with booking until now. Prices are lower compared to makemytrip in all the properties that I checked. UI looks old and requires a fresh design. Issue: Unable to add photos to a review. Gallery opens up which then turns into a white screen.,3,9565,2019-07-05 06:21:57,"Hi Sarath- Thanks for sharing the valuable feedback, we will forward the same to the relevant team. Thanks!",2019-07-12 10:38:41,6.1.10
Google Play,Goibibo,Riddhi Upadhyaya,"Poor facility for customer care. My flight got cancelled and I requested the refund in my bank account but it has been put into the wallet of the app. I've been trying to access my wallet to issue a tranfer of money, but it doesn't load at all. Goibibo doesn't allow me to access my own money in my wallet or initiate a refund. This is very disappointing. I've been stressed over it for so long because it's a lot of money. Also, no customer care numbers or emails are available. This is pathetic.",1,6,2024-01-04 14:42:40,"Hi,

Could you please share details of your issue at your unique customer link https://applinks.makemytrip.com/c0brGdMc5Fb Our team will reach out to you within 48 hours with an appropriate resolution.

- Thanks,
Deepak",2024-01-04 16:04:41,17.4.3
Google Play,Goibibo,Kumar Gaurav Bharadwaj,"I used to like Goibibo, but things went wrong. I had problems checking into hotels I booked through them. Even when I got good deals, hotels said no to check-in. The most frustrating part was the lack of support from customer service. Extended calls (2-3 hours) led to unfulfilled promises, with alternative options and reimbursements never materializing. In a recent incident, a denied check-in resulted in a pledge for reimbursement upon booking another hotel, but the promise was never full filed.",1,37,2023-12-29 21:37:59,"We would love to help you out with this, please share details at https://go.ibi.bo/dr0lWU2CYFb (Do note that to access this link, you will have to check for a mail from noreply@google.com on your registered e-mail ID on playstore). We will reach out to you within 48 hrs. with a logical conclusion
- Thanks,
Deepak",2023-12-31 17:00:32,17.4.3
Google Play,Goibibo,Subhash Palsaniya,They don't give you refund back when you tray to talk with goibibo you amazed they don't have Customer support system I am search several time contact number but they are not programming yet . I never booked any bus and anything through this app . And I strongly suggest you please don't plan travel through this app . It is totally lost for you,1,28,2023-12-23 12:16:23,"We would love to help you out with this, please share details at https://applinks.makemytrip.com/zAciNfY2MFb (Do note that to access this link, you will have to check for a mail from noreply@google.com on your registered e-mail ID on playstore). We will reach out to you within 48 hrs. with a logical conclusion
- Thanks,
Deepak",2023-12-24 17:31:08,17.4.3
Google Play,Goibibo,Harish Kumar,Cheating and lies with poor customer support 😡 The ticket confirm policy with double cashback is a loot. They said that if the ticket is not confirmed they will return money. Half of the return is in the form of credit. I had 3 tickets. One was not confirmed. My money was not returned and also the xtra charge they charged me for booking ticket has not been refunded. Worst case when online ticket is not confirmed the IRCTC returns the money back and these looters haven't returned that money too.,1,1,2024-01-04 21:51:39,"Hi

We would request you to please share details of your issue at your unique customer link https://go.ibi.bo/BGbYkVmaaGb Our team will reach out to you within 48 hours with an appropriate resolution.

- Thanks,
Deepak",2024-01-07 15:49:00,17.4.3
Google Play,Goibibo,venkey jakkampudi,"I booked my ticket using the option they provided called felxi In which if we choose to cancel the ticket before the departure will get some money back, when I reached out to the customer support about the cancellation they are telling me that it is not possible, idk why are they doing this... Don't give the options when you're are not able to do this.. and I'll delete my Goibibo account and will never book through this site again",1,2,2023-12-30 11:44:00,"We would love to help you out with this, please share details at https://go.ibi.bo/fyC1TuLBbGb (Do note that to access this link, you will have to check for a mail from noreply@google.com on your registered e-mail ID on playstore). We will reach out to you within 48 hrs. with a logical conclusion
- Thanks,
Deepak",2024-01-08 12:40:05,17.3.1
