source,Appliction,user_name,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion
Google Play,com.yatra.base,Sahaj Vinyas,"Horrible app and website ! I highly recommend that you use any alternative possible. The customer care is absolutely useless and very difficult to get in touch with, they don't reply to the emails, don't call back even after multiple emails and calls. Kindly save yourself the trouble and book on an other app. Please shut down your app if you guys cannot help the customers. They are a bunch of crooks and do not refund the money.",1,4,2024-01-18 12:25:47,"Dear Sahaj, Greetings from Yatra.com! We are sad to know that your experience with us was not good, Please help us to connect with you quickly by sharing the concern in brief and your booking details with us against the below-shared URL play storehttps://www.yatra.com/online/playstore-support?key=ec5b3e38-5b66-4a36-8e4c-85d7e81d8772",2024-01-18 12:51:53,
Google Play,com.yatra.base,Akhil Avinash,"Worst customer service ever. Their payments interface is a complete mess, and 90% of the time it doesn't even redirect to a success page even after payment is deducted. I paid for a room twice while booking on the spot because I didn't get any notification/email during the first time for 15 mins or so. I didn't use the other room, and tried contacting the Support, but there's literally zero ""support"" from them. They take one week to reply to an email with a generic response. Never using Yatra!",1,643,2020-11-02 08:22:27,,,13.1.24
Google Play,com.yatra.base,Natha Natha Jagannatha,"Hopeless mobile application. It's been 5/6 months, continuously showing error message on the payment page. Finally booked through website. Further, the mobile app while booking shows one amount and while you proceed further for Payment, it shows a higher amount. Frustrated, I have switched to other booking apps.",1,1,2023-07-30 08:50:14,"Hi, Regret the inconvenience caused, Please share the error screenshot along with the requested details against the below-shared URL for us to check and assist you better. Thanks

https://www.yatra.com/online/playstore-support?key=296d6577-3b01-4bbb-8a47-c1e3184f9ff3",2023-07-30 11:00:18,14.30.0
Google Play,com.yatra.base,Akhil Vasudevan,"There is no way to contact them whatsoever. When you call on the number provided on the website, the call automatically disconnects in after a minute and you hear only the automated audio. The chat option in the app just goes blank after the first input itself. An international flight I booked is cancelled and date changed. It is not even reflected under my booking on the app and website.",1,581,2022-03-05 09:38:59,"Dear Akhil, Please help us to connect with you quickly by sharing the concern in brief and your booking details with us against the below shared URL. Please be assured we will look into this on priority. Thanks.
https://www.yatra.com/online/playstore-support?key=afae0fd5-9679-41fd-ac6b-97efdb9bf0ce",2022-03-05 13:27:36,13.1.49
Google Play,com.yatra.base,Govind Ram,"It doesn't work at all. I have been trying to claim my refunds several times but it show an error message everytime. It really annoying to have such kind of experiences. I should have thought before booking a flight on yatra. Really bad experience as I am still anable to initiate my refunds. Moreover, I have not received any cancellation message from yatra which is very much needed.",1,314,2021-09-20 02:00:12,"Sorry for the inconvenience caused to you. Please help us to connect with you quickly by sharing the concern in brief and your booking details with us against the below shared URL. We will do our best to help you with the applicable refund. Thanks.

https://www.yatra.com/online/playstore-support?key=5547e247-d715-43ab-b374-51a9c109dc48",2021-09-20 11:11:34,13.1.39
Google Play,com.yatra.base,Arjun .M.M.,"The app is useless in booking train tickets. Have made 4 bookings all of them failed after successful transactions and no refund has been generated so far. And when u wanted to get in touch with their customer care, all they is an option to chat with a stupid bot which doesn't work at all and resolve no issues at all. Really disappointed with their services.",1,15,2022-07-14 14:05:54,"Dear Arjun, Sorry for the inconvenience caused to you. Please help us to connect with you quickly by sharing the concern in brief and your booking details with us against the below shared URL. Please be assured we will look into this on priority. Thanks.
https://www.yatra.com/online/playstore-support?key=3ebff94c-8f99-43c5-b6b2-50cb485528a5",2022-07-14 14:21:28,13.1.56
Google Play,com.yatra.base,Tapas Srivastava,They are showing an offer of 10% off on international flight. It's a scam they have variable convenience fee. If you avail the discount your convenience fee increases and ultimately you pay the price which is equivalent to the one on other websites. Cheats... no customer care you have to just mail them. They are very unethical. I'll never use this app. Can you imagine after getting a discount of 4k+ I ended up paying 3k more than mmt.... unbelievable,1,29,2022-10-25 19:29:39,"Dear Tapas, Sorry for the inconvenience caused to you. Please help us to connect with you quickly by sharing the concern in brief and your booking details with us against the below shared URL. Please be assured we will look into this on priority. Thanks.
https://www.yatra.com/online/playstore-support?key=47c612a9-1225-4bd0-83fe-e9b96cea8a9d",2022-10-25 20:09:33,14.6.0
Google Play,com.yatra.base,Sarvantrayami Gubbala,"Yatra should change it's name to Fraud app. I had a very bad experience, I booked 2 flight tickets worth 5k and somehow had to change my plan. The amount they could settle for my reschedule was just 300rs! And the cancellation refund was 0rs! The app doesn't even have a contact number to call them, that shows the kind of fraud they are into. Fyi I tried to reschedule/cancel my tickets before 3 months of the journey!!!!!",1,52,2020-12-10 20:22:31,,,13.1.27
Google Play,com.yatra.base,A Google user,"Normally all vendors are the same, but the real difference it makes when the problem arise, and how convenient it is to connect to the agent and solve the issue. im in Thailand now, and i need to change the return date to fly urgently tonight. online application doesn't show options, toll free numbers can't call from here, and their website doesn't show an number to reach from outside location. and their email will not respond immediately. its worst service of my 20 years of business travelling.",1,94,2019-01-23 10:47:11,"Dear Parish, We regret the inconvenience you have faced, kindly share your booking reference number at playstore@yatra.com we will be please to assist. You can also connect with us through email, details are updated on the site, kindly refer https://www.yatra.com/support. Regards, Yatra Care",2019-01-23 15:47:51,13.0.35
Google Play,com.yatra.base,A Google user,"Not able to book tickets. Trying from 2 days, no matter which flight you choose gets a pop up saying ""Sorry! The last available seat on this flight just got booked. PLEASE SELECT ANOTHER FLIGHT FROM THE OPTIONS BELOW"". if you check again the list of flights are just the same as before not refreshed at all. Tried opening the app again but the same thing happens. Worst app",1,45,2019-01-09 00:02:15,"Hi, We request you to kindly reinstall the APP once. The issue should be resolved, Incase you need any further assistance please do feel free to connect with us at playstore@yatra.com. Regards, Yatra Care",2019-01-09 14:22:07,13.0.40
Google Play,com.yatra.base,Sameer Dronamraju,"I've been a long time user of Yatra. But, of late, their app shows too good to be true flight fares and when you go to book, the fare shoots up 3 times or more, or they add excessive convenience fee for a single ticket etc. I do know that flight fares are dynamic, but it can't be so dynamic to shoot up 3 times within a matter of seconds. I just uninstalled this app and going elsewhere. I'm done wasting my time with these guys.",2,29,2023-03-30 18:49:24,"Sorry for the inconvenience caused to you. Please help us to connect with you quickly by sharing the concern in brief and your contact details with us against the below shared URL. Please be assured we will look into this on priority. Thanks.
https://www.yatra.com/online/playstore-support?key=e6b055d5-41eb-467d-8770-288789c41099",2023-03-30 19:30:24,13.1.42
Google Play,com.yatra.base,Shubham Chauhan,"EDIT: Yatra reached out after I wrote a review here. They have refunded the full amount now. The process was pretty smooth. Thanks yatra. I edited my review to 3 (from 1) stars. Original: First time I used to book an interstate cab. The payment went through and I was redirected back to the app, but there were no bookings to be seen. Tried reaching them but no luck. Makemytrip was there for the rescue.",3,20,2021-01-12 12:22:34,"Dear Mr. Chauhan, Sorry for the inconvenience caused. Can you please share the email address used at the time of attempting the booking with us at playstore@yatra.com to enable us to assist you. Thanks!",2021-01-11 16:28:00,13.1.28
Google Play,com.yatra.base,Udayan Gupta,"There is no way to contact them whatsoever. When you call on the number provided on the website, the call automatically disconnects in after a minute and you hear only the automated audio. The chat option in the app just goes blank after the first input itself. I cancelled a hotel booking, and got the mail from them that you will get the full refund. But still I have not received any refund.",1,219,2022-12-02 10:59:25,"Dear Udayan, Sorry for the inconvenience caused to you. Please help us to connect with you quickly by sharing the concern in brief and your booking details with us against the below shared URL. Please be assured we will look into this on priority. Thanks.
https://www.yatra.com/online/playstore-support?key=e3d17fc8-6a76-4179-85df-ab0a9a00cfbf",2022-12-02 11:17:01,14.6.0
