review_description,polarity,Sentiment
different another try connect service call disconnect many time want connect support difficult make complicate connect service disappoint service worst experience make trip,-0.25,Negative
hope review someone bad mood trip price higher actual price care service horrible always side issue alternative want good trip want adventure life lot money dont need good service land best,0.13571428571428573,Positive
abysmally poor service would mistake rely make airport transfer car one way reach suppose driver felt like scam quite possibly business model collect follow actual,-0.13333333333333333,Negative
many lack try senior able time senior citizen make separate result pay much due price surge simple product feature miss,0.21875,Positive
immediate travel encounter technical issue travel date without consent rectify discover system incorrectly mark journey attach seek support unhelpful system kindly request assistance address issue promptly,0.3,Positive
worst service wont follow cancellation refund service provide include chat bot wouldnt recommend try even though free cancellation still pay refund also do fraud theory need file complaint market strategy,-0.3,Negative
support non existent cant raise ticket via write support telephone number response dont want attend bus wrong pickup location give bus number available refund request close automatically without refund explanation one hear,-0.04999999999999999,Negative
unable put review finish recently huge lengthy process take much input eventually ask camera storage permission flow provide go extra mile provide manually phone still keep say please provide camera storage hell stick way skip image step finish review pathetic experience,-0.18,Negative
ruin holiday check confirm explicitly need call confirmation call issue agent call confirm far good however every time call support tell agent call confirm though different question time lousy process,0.07499999999999998,Positive
terrible experience company coach first two board trip reimbursement support help whatsoever recommend leave roadside information change board recompense shock way treat pay rip,-0.375,Negative
incredibly consistently provide best refund process cancellation within efficiency great make highly recommend,0.5525,Positive
much confusion flight mention flight secondly give show discount flight first flight totally lie give discount first flight coupon payment simply show payment coupon try ways payment discount,0.11666666666666665,Positive
ever worst service dont ever never trip show pleasant condition even room work properly still people refund money even conversation worst ever dont experience dont deserve even zero star,-0.31666666666666665,Negative
never trust train ticket trip guarantee train ticket get ready refund amount accord trip guarantee promise simply tell didnt aware available time come know feature deny offer,0.21250000000000002,Positive
worst ever see need change view go wrong problem different network worst please international,-0.5,Negative
worst dont international flight bad experience less rate pay baggage price additionally airport cancellation also tough clarity careful secondly cannot add pic one bad access please dont international international careful full cheat,-0.23379629629629628,Negative
pathetic support rat star decade get first issue relate amount back account care multiple time get blank reply every call start fresh month response money back disappoint good,0.031249999999999993,Positive
