review_description,polarity,Sentiment
horrible highly recommend alternative possible care absolutely less difficult get touch dont reply dont call back even multiple kindly save trouble please shut cannot help bunch refund money,-0.12296296296296297,Negative
worst service ever interface complete mess time doesnt even redirect success page even payment room twice spot didnt get first time didnt room try contact support theres literally zero support take one week reply generic response never,-0.08749999999999998,Negative
hopeless mobile application continuously show error message payment page finally mobile one amount proceed payment higher amount switch,0.125,Positive
way contact whatsoever call number provide call automatically minute hear audio chat option go blank first input international flight date even reflect,0.08333333333333333,Positive
doesnt work try claim several time show error message really annoy kind think flight really bad experience still initiate moreover receive cancellation message much,0.06000000000000004,Positive
less train make successful refund far get touch care option chat stupid bot doesnt work resolve really disappoint,0.016666666666666684,Positive
show offer international flight scam variable convenience fee avail discount convenience fee ultimately pay price equivalent one care mail unethical ill never imagine discount end pay unbelievable,-0.1875,Negative
change name fraud bad experience flight worth somehow change plan amount could settle reschedule cancellation refund doesnt even contact number call kind fraud try journey,0.06666666666666671,Positive
normally real difference problem arise convenient connect agent solve issue need change return date fly urgently tonight application doesnt show toll free cant call doesnt show number reach outside location respond immediately worst service business,0.07999999999999999,Positive
able try days matter flight choose pop say sorry last available seat flight get please select another flight check list try open worst,-0.09999999999999999,Negative
long time late good true flight fare time add excessive convenience fee ticket know flight dynamic cant dynamic shoot time within matter uninstalled elsewhere do wast time,0.06428571428571428,Positive
edit write review full amount process pretty smooth thank review original first time interstate cab payment go back see try reach luck rescue,0.2708333333333333,Positive
way contact whatsoever call number provide call automatically minute hear audio chat option go blank first input get mail get full refund still receive refund,0.19999999999999998,Positive
never bad experience agency flight cancellation refund pend dont proper support dont respond mistake save hundred would suggest everyone choose read decide dont rat store trust worthy,0.22777777777777775,Positive
good dont work properly mobile work web rat option bus also destination point selection careful ticket price may less without destination point might get wrong destination per wish also contact provide wrong,-0.09444444444444444,Negative
dont try flight ticket bad dont even flight number claim refund call case difficulty communication respond days time worst ever refund amount,-0.8499999999999999,Negative
disgust service ticket dont know flight wont even refund open say may put case treat way student highly inappropriate need reach time desire location trustworthy better,0.22,Positive
care support handle valid contact number reach mail support even shortly better close instead irresponsible service try bus ticket days amount get multiple time different payment ticket get kindly look issue soon possible,0.22000000000000003,Positive
service even lower get travel insurance ticket less cancellation among due unforeseen cancel ticket refund pathetic even lower travel insurance obvious cannot reach luck response less leave service,-0.29166666666666663,Negative
trustworthy beach resort provide location phone number dont call assistance poor like waste almost one hour resort car also come across accident resort didnt work phone number somehow one resort repeat trust,-0.30000000000000004,Negative
dont make mistake horrible month still havent receive refund send say amount dont provide bank transaction number extremely bad service definitely come across fraud company buy time come would rather much better service ease,-0.29999999999999993,Negative
experience neither support team respond cannot call care directly gift worth try apply first worth able payment try voucher remain system throw error chance would rate zero,0.29,Positive
way contact call number provide call automatically minute hear audio chat option go blank first input flight amount ticket try call mail response money yet,0.125,Positive
need serious help list countless list blank screen click doesnt work obviously one cannot move forward sometimes search doesnt work,-0.08333333333333333,Negative
worst application ever time try flight get refund amount wallet account try call contact mail reply number trust come save impression dont trust,-1.0,Negative
application default date last time carefully double check date else loose money also infant option always error none contact work contact support option trouble one help well overall bad experience,-0.1628205128205128,Negative
utter show low price start say price select hike price convenience almost double original price show fail payment ask pay without zero transparency,-0.025,Negative
convenience fee time time cancellation ticket keep even though say cost many issue way make money,0.5,Positive
worst service platform bus bus ticket payment didnt get ticket confirmation mail take money month still didnt receive refund also keep tell mail wait days better platform otherwise loose money time,-0.1923076923076923,Negative
dont get carry away pointless instead directly charge extra convenience hide check flight dont believe,-0.049999999999999996,Negative
horrible experience company time say accept request week later not regard still show active receive notify try reach care response,-0.37777777777777777,Negative
last night fully confirm morn enquire turn record list theres clear way reach support dumb chat bot list get way connect human like credit card charge bank way deal,-0.06874999999999999,Negative
worst ticket payment ticket unconfirmed find care get status handle way connect care executive many also attract attention pathetic never simply worst,-0.25,Negative
fraud shady company flight cancellation protection couple days acknowledge refund couple hundred lose shady company ever totally wrong able log confirmation code response support,-0.125,Negative
bus reach pickup point say also bus operator also come pickup point around reach say show operator name operator say fake operator work address also fake,-0.5,Negative
worst since yesterday try cancel flight whenever try open cancellation window come never horrible service,-0.16666666666666666,Negative
worst experience try first time pathetic ticket didnt get confirmation sometime get update ticket amount gift voucher also never recommend also,-0.5833333333333334,Negative
thank much facility provide tour glad go staff polite always every query people reasonable star side,0.3,Positive
dear one help reach crime desk big scam emergency cab outstation cab three days receive cab money return didnt get call either cab driver reflection track support reach care screen transaction ref like scam big cheat,0.0,Positive
worst ever bus twice first time time payment much time get confirmation mail next time didnt get confirmation mail didnt get refund clarification consumer service never,-0.1375,Negative
worst experience service team reschedule flight able reschedule flight waste time call put hold like waste money time try save hundred never,-0.22499999999999998,Negative
poor service never bus train even though bus operator doesnt turn pickup point need pay apology service one time one better response team,0.04999999999999999,Positive
really provide pathetic service fro flight worth even show confirmation dont toll free number available chat bot really,0.08333333333333333,Positive
dear one help reach crime desk big scam emergency cab outstation cab three days receive cab money return reflection track support reach care transaction report confirmation screen shoot one like scam big cheat,0.0,Positive
people domestic flight time partial amount refund cancellation try cancel ticket show refund service team aware allow anyone refund cancellation ticket still partial amount refund incase cancellation poor service dont,-0.07,Negative
travel bus operator horrible experience duplicate turbo could blast luck save write many address please check bus agency make life hell word experience clue less travel back transportation provide guidance alternative travel auto refund,-0.16666666666666666,Negative
bad experience tell every time open able retain session pathetic accessibility bad old way better,-0.18571428571428564,Negative
bad experience try one due system failure twice even directly twice say care supportive,-0.10833333333333331,Negative
pathetic search show lot click error message say sell worst travel application,-1.0,Negative
worst application cannot see past application many doesnt work team hire good work application please today application would request everyone right away dont want get stick awful experience thank,-0.1273809523809524,Negative
full flight upon refresh totally flight correct make mistake seriously,0.005555555555555554,Positive
dont even deserve star worst ever make didnt receive try contact way connect also never reply lose money fraud,-1.0,Negative
worst havent return complete amount per rule extra cancellation difficult call care disappoint never much better genuine,-0.20833333333333334,Negative
worst situation people put mail wen flight tat text number time which another number speed many wen alternate much worser condition mail previously request alternate accommodate,-0.07777777777777778,Negative
support bad take days respond reschedule available international follow subject response multiple reschedule,-0.0933333333333333,Negative
wont even open stick screen white background try open since morn,0.0,Positive
please stay away two since refund flight till money yet try every kind service link provide vain,0.6,Positive
pathetic payment experience process payment shoot let tell talk fee cheat payment completion total payment amount flight back never ever,-0.3333333333333333,Negative
experience pathetic care number minimum amount cancellation return entire amount however take maximum response directly,-0.3,Negative
horrible experience flight easy without problem cancel technical problem call try cancel disconnect call write get complain number guess get yet,-0.18888888888888888,Negative
technical bug flight ticket get different another connect flight refund ownership responsibility life refer one less scam,-0.05555555555555555,Negative
unable login application work need modify due emergency way reach less,-0.2638888888888889,Negative
worst never card discount choose card discount put card number card select bank try multiple none try go another card get card discount first place need answer,-0.25,Negative
irrelevant please dont ticket money get stick please please dont may loss money like special recommendation delete delete soon possible,-0.047619047619047616,Negative
worst ever ticket didnt receive mail refund even didnt receive call chance connect care want refund immediately take legal action,-0.23333333333333336,Negative
flight payment page choose option flight enter card page page could get option redeem amount get flight days update return immediately flight impossible reach care call,-0.6666666666666666,Negative
recently receive voucher credit card never voucher show invalid need resolution soon possible proper care cant maintain proper service maintain base company,-0.16,Negative
international flight lot contact problem cancellation flight receivable amount low even high travel volume,0.05333333333333334,Positive
worst service support ticket cancellation days wait fake give lame reason didnt penny refund worst service ever receive,-0.75,Negative
worst experience ever executive room dont one available way contact care always better service please provide service,-0.033333333333333326,Negative
good seamless hide convenience high flight,0.32,Positive
flight half hour ago amount deduct confirm answer care number help side number provide service amount stick refund confirmation rat minus would like give negative rat wait refund support flight response,-0.18888888888888888,Negative
poor service flight process refund provider already refund page,-0.4,Negative
unable access profile section show even trip lot,-0.5,Negative
worst experience many system bus ticket option select location unable contact care due drop location issue pay extra amount bus transporter select location,-0.225,Negative
worst travel service totally waste time negative rat never,-0.5,Negative
redeem voucher payment option show error dont voucher application accept full amount worst application contact work service number available,-0.08333333333333333,Negative
worst ever travel case take wisely proper better faster,-0.16666666666666666,Negative
worst ever ever try unable make payment currently remove show payment please dont,-0.5,Negative
lot sometime wont load able see history sometime load properly,0.25,Positive
application already error server maintenance didnt return money neither,0.0,Positive
bus ticket amount show try reach one pick really hurtful bad experience,-0.24999999999999992,Negative
latest bad service care send service desk service mast thank,-0.09999999999999992,Negative
risk forever payment failure code failure price hike people update competition much friendly good luck,0.11041666666666664,Positive
dont automatically lose date less less site care support bug date selection lose,-0.16666666666666666,Negative
quick easy flight get call cancellation fare,0.3833333333333333,Positive
bad application dont please costly cancel flight refund days company already support call connect department bad application aware attention,-0.38333333333333325,Negative
could give minus would love give minus worst experience dont even care number provide number call well call never call back weve reach doesnt exist do payment also refund yet time reach say do also do payment refund yet support one complain,-0.13999999999999999,Negative
good bad experience honesty feedback poor time navigate select bus availability come would definitely even feedback button never work post notice,-0.09999999999999998,Negative
worst experience ever heavy amount almost double price actual tariff also experience pay heavy amount care ask even provide justification query waste money time never worst,-0.1571428571428571,Negative
totally unfit model dont care inbound bus provide quick dont think provide seek fast track kind full create panic tension mental stress,0.23055555555555554,Positive
first time worst experience flight money get ticket confirm contact send mail get response care message ask connect connect say name lose worst part dont know wait make another scam,-0.5833333333333334,Negative
third class worst ever experience open even network time fetch end error sorry train however another like dumb ever,-0.375,Negative
flight month end unfortunately flight get side due operational time take cancellation protection policy around total cost fee get refund side mistake side flight get refund,-0.20833333333333334,Negative
pathetic platform itinerary ticket august advance month days check enter people fault trouble lot full story paste due word limit surely worst platform kind never ever service one kindly contact tell,-0.11071428571428572,Negative
serious able may payment final screen technical error time past days doesnt look like anyone even try even try web version still see another person also issue wonder serious service,-0.06944444444444443,Negative
wont let pay flight show error payment every mode dynamic keep add add like check willness pay pay increase increase whats point application stick one price,0.0,Positive
worst ever experience easy never get confirmation unable login check even chang password unable get care executive well sort,-0.39166666666666666,Negative
team yesterday today management cancel tell associate try contact many ways help dummy gate way please refund dont want experience ever dont know new type fraud bus today dont know happen even bus,0.3181818181818182,Positive
bad experience cant check without seat broad pass care always reachable find today poor,-0.34583333333333327,Negative
credit card card number different expiry date able delete card information add card able ticket old card date option remove save credit card experience digital age,0.22000000000000003,Positive
notification arent properly way leave general without advertisement,0.02500000000000001,Positive
flight didnt amount login redeem cash didnt let login error multiple time please dont increase headache damn sure,0.25,Positive
steal personal data dont allow without phone contact information latest update uninstalled right away,0.2619047619047619,Positive
easier easier refund bus send mail refund wait save,0.0,Positive
probably worst ever cant access cant login cant see profile work,-1.0,Negative
log multiple need access flight ticket yes,0.0,Positive
way contact support day reason cannot give whatever either downgrade refund option many first time get worst service,-0.08333333333333333,Negative
worst payment service ever pathetic service payment always get stick confirm never platform,-1.0,Negative
worst today make payment bus amount get didnt receive ticket response form even give every worst rat review case consumer court well please refund amount source bus else face digital marketer know kind downfall,-0.35,Negative
thief honor cancellation cancellation ticket innumerable hide case cancel ticket ticket cancellation charge refund rest eat biggest travel industry never ever nightmare international location die,0.0,Positive
absolute wait refund since flight contact care request wait another refund flight another portal unable give never recommend anyone,-0.15,Negative
flight lot discount offer payment page match discount amount convenience fee case amount discount amount ticket infant fee really would never recommend anyone bloody,-0.30000000000000004,Negative
bad money also also till money file case,-0.6999999999999998,Negative
payment bad experience,-0.6999999999999998,Negative
first worst service do people people do end pay extra also pool pool work since many didnt mention write several body contact worst please never,-0.20833333333333334,Negative
able get less travel site domestic flight easy,0.19166666666666668,Positive
worst platform ever make payment didnt issue bus ticket worst interface also even able contact support even mail support team even response side,-0.5,Negative
phone support ticket difficult manage dont pathetic service quality,-0.75,Negative
work search available click inside available,0.4,Positive
good interface fast convenient recommendable,0.44999999999999996,Positive
able login able live chat cancel flight ticket cant login yet platform please maintain properly dont fool,0.28409090909090906,Positive
zero star pathetic portal support pay forget ticket remind time send ticket even cant send give random cant send ticket capable lack professionalism ethics experience never else waste precious money,-0.2,Negative
regret avail prime validity maximum ridiculous heavy people twice year faraway think subscribe,-0.26666666666666666,Negative
since morn account fetch unable get history rate display one figure time different time payment felt like dont like,-0.25,Negative
worst ever ever ready loose money confirm one give another worst far original also least rat one days refund money ask refund dont care contact loose hard money ever modern day thief save money,-0.18705128205128202,Negative
bus ticket money get payment page worst experience ever also filter see dont even know money go seriously pathetic dont know whether get refund,-1.0,Negative
please dont lose flight ticket flight ticket suddenly lose money send phone message different reference number dont get money back please request dont,0.0,Positive
worst experience care last month still didnt get refund proper support,-0.3333333333333333,Negative
precise nice experience ticket comparison travel,0.5,Positive
nonsense option search brother flight check flight status make trip nonsense,0.0,Positive
able login say technical issue try get help regard login help login thats irony,0.25,Positive
pay later since money time ticket save ticket without money,0.0,Positive
really wait day transparent legit show time one final payment page different dont start criminal prey people directly better guise legal enterprise scam series,0.08333333333333333,Positive
really good recent experience incessant wrong especially minimal thats worth stress come nonetheless last time likely screen never even pedicure dog,0.04285714285714285,Positive
dont fraud lose show address name exist try map address show location also per also false show reviewer like stay,-0.4000000000000001,Negative
worst every time ticket amount deduct wont reflect dont good service also take time refund,-0.15000000000000002,Negative
really worst service care train ticket go show make transaction also chat bot tell didnt please respond,-1.0,Negative
two time train ticket payment successful rotate rotate rotate half hour come back worst,-0.10416666666666666,Negative
unable fetch profile data please try sometime error message access profile,-0.5,Negative
able login information base able get refund take small amount say token dont get money form refund account wallet reflect account give multiple executive one resolve query poor service lack integrity update comment give give link,-0.07500000000000001,Negative
best always best compare issue care toll free available kind help need fix,0.6799999999999999,Positive
worst service actually take ticket air express worst ticket end successfully process refund company dont executive support kindly request flight dont take agent,-0.13,Negative
transaction tell would contrary feel,0.0,Positive
bad always show error fetch profile data also ticket show trip,-0.6999999999999998,Negative
extremely helpful time best deal available unlike,0.425,Positive
pathetic service days flight still havent receive refund even number never far far better service,-0.11250000000000002,Negative
class service number stick click help also voucher redeem due support system please dont holiday fraud company,-0.125,Negative
scam ticket payment account never receive ticket also care less,-0.16666666666666666,Negative
totally worst service help contact number regret ticket get service emotion less,-0.5833333333333334,Negative
unable login every time try login technical error please try,-0.25,Negative
convenient every time show login error pathetic,-1.0,Negative
unable ticket response care unbale login show technical error,-0.25,Negative
doesnt give refund cancel reschedule flight,0.0,Positive
doesnt provide full regard journey leave dumb,-0.012500000000000011,Negative
flight confirm cant even get refund back cant contact costumer care,0.0,Positive
